text,hs_code,hs_chapter,hs_desc,language
"Other frozen fish - standard quality, bulk shipment, for cross-border shipment, shipping term FOB.",030389,Fish,Other frozen fish,en
"High density PE pellets, injection grade",390120,Plastics,"Polyethylene, specific gravity ≥0.94",en
"Other electronic integrated circuits, meeting international standards, for bonded warehouse delivery, palletized for container shipment.",854239,Electronics,Other electronic integrated circuits,en
"Jerseys, pullovers of man-made fibres for industrial/commercial use, for regional retail supply chain, for 20ft container loading.",611030,Garments,"Jerseys, pullovers of man-made fibres",en
"Export grade waters with added sugar or flavour, certified, for industrial procurement contract, for scheduled maritime transport.",220210,Beverages,Waters with added sugar or flavour,en
"Shipment of motor cars, >3000cc, FOB terms",870324,Vehicles,"Motor cars, >3000cc",en
"便携式笔记本电脑 14英寸 16GB内存, for bonded warehouse delivery, for mixed-lot cargo.",847130,Electronics,Portable digital computers <10kg,zh
"Shipment of electronic integrated circuits, memories, FOB terms, for bulk procurement program, for 20ft container loading.",854232,Electronics,"Electronic integrated circuits, memories",en
"Lumber, coniferous, sawn, meeting international standards, for international wholesale distribution, palletized for container shipment.",440710,Wood,"Lumber, coniferous, sawn",en
Mineral or chemical fertilizers with NPK for industrial/commercial use,310520,Chemicals,Mineral or chemical fertilizers with NPK,en
"Diesel motor cars, 1500-2500cc - standard quality, bulk shipment, for export under standard commercial terms, for scheduled maritime transport.",870332,Vehicles,"Diesel motor cars, 1500-2500cc",en
"Pure aluminium sow ingots, 25kg each, for bulk procurement program, with standard commercial invoice and packing list.",760110,Metals,"Unwrought aluminium, not alloyed",en
"Boneless frozen cow meat, HALAL certified, for bonded warehouse delivery, for 20ft container loading.",020230,Meat,Frozen boneless bovine meat,en
"Export grade vaccines for human medicine, certified",300220,Pharmaceuticals,Vaccines for human medicine,en
"Trade declaration: footwear with uppers of leather, new",640510,Footwear,Footwear with uppers of leather,en
"Fresh oranges, commercial grade, for import, for bonded warehouse delivery, shipping term CIF.",080510,Fruits,Fresh oranges,en
"Trade declaration: textured polyester yarn, new",540233,Textiles,Textured polyester yarn,en
"EV battery modules, lithium-ion, 400V",850760,Electronics,Lithium-ion accumulators,en
"กุ้งขาวแวนนาไมแช่แข็ง ขนาด 31/40, for customs clearance and import declaration, palletized for container shipment.",030617,Fish,Frozen shrimps and prawns,th
"Tôm thẻ chân trắng đông lạnh xuất khẩu, for customs clearance and import declaration, for mixed-lot cargo.",030617,Fish,Frozen shrimps and prawns,vi
"Trade declaration: other frozen fish, new",030389,Fish,Other frozen fish,en
"Mixtures of fruit juices, packed for international trade, for cross-border shipment, for mixed-lot cargo.",200990,Food Preparations,Mixtures of fruit juices,en
"Static converters - standard quality, bulk shipment, for international wholesale distribution, for mixed-lot cargo.",850440,Electronics,Static converters,en
"Export grade television cameras and digital cameras, certified, for industrial procurement contract, shipping term FOB.",852580,Electronics,Television cameras and digital cameras,en
"Road tractors for semi-trailers - standard quality, bulk shipment, for bulk procurement program, packed in cartons.",870120,Vehicles,Road tractors for semi-trailers,en
"Women's trousers of cotton, packed for international trade, for international wholesale distribution, shipping term FOB.",620462,Garments,Women's trousers of cotton,en
"Textured polyester yarn, meeting international standards, for cross-border shipment, for mixed-lot cargo.",540233,Textiles,Textured polyester yarn,en
"Poly mailer bags for shipping, for international wholesale distribution, for 20ft container loading.",392321,Plastics,Sacks and bags of ethylene polymers,en
"Imported other palm oil, customs declaration",151190,Oils,Other palm oil,en
"Chemical wood pulp, bleached, packed for international trade, for export under standard commercial terms, palletized for container shipment.",470321,Paper,"Chemical wood pulp, bleached",en
"Shipment of other wooden furniture, FOB terms",940360,Furniture,Other wooden furniture,en
"Cotton lint, ginned, in standard bales, for international wholesale distribution, with standard commercial invoice and packing list.",520100,Textiles,"Cotton, not carded or combed",en
"New pneumatic tyres for buses/lorries, commercial grade, for import, for regional retail supply chain, shipping term FOB.",401120,Rubber,New pneumatic tyres for buses/lorries,en
"Export grade silicon, containing ≥99.99% si, certified, for bulk procurement program, shipping term CIF.",280461,Chemicals,"Silicon, containing ≥99.99% Si",en
"Hot rolled steel coil, width >600mm, 3mm thick, for regional retail supply chain, packed in cartons.",720839,Steel,"Hot-rolled iron or steel, coil >600mm",en
未烘焙咖啡原料 未脱咖啡因,090111,Coffee/Tea,"Coffee, not roasted, not decaffeinated",zh
"Fresh or chilled onions and shallots, commercial grade, for import, for customs clearance and import declaration, for mixed-lot cargo.",070310,Vegetables,Fresh or chilled onions and shallots,en
"Parts for filtering machinery - standard quality, bulk shipment, for regional retail supply chain, for mixed-lot cargo.",842199,Machinery,Parts for filtering machinery,en
"Shipment of cold-rolled iron or steel coil, FOB terms, for bonded warehouse delivery, for scheduled maritime transport.",720917,Steel,Cold-rolled iron or steel coil,en
"Trade declaration: women's trousers of cotton, new, for industrial procurement contract, packed in cartons.",620462,Garments,Women's trousers of cotton,en
"High density polyethylene for containers, for industrial procurement contract, for 20ft container loading.",390120,Plastics,"Polyethylene, specific gravity ≥0.94",en
"Export grade lumber, coniferous, sawn, certified, for regional retail supply chain, for scheduled maritime transport.",440710,Wood,"Lumber, coniferous, sawn",en
"Frozen boneless stewing beef, 20kg cartons",020230,Meat,Frozen boneless bovine meat,en
"Green tea in packages ≤3kg, quantity: various, for wholesale",090210,Coffee/Tea,Green tea in packages ≤3kg,en
"Unwrought aluminium billets, unalloyed, for export under standard commercial terms, with standard commercial invoice and packing list.",760110,Metals,"Unwrought aluminium, not alloyed",en
"American upland cotton, uncarded",520100,Textiles,"Cotton, not carded or combed",en
"Imported static converters, customs declaration, for customs clearance and import declaration, with standard commercial invoice and packing list.",850440,Electronics,Static converters,en
"Trade declaration: refined copper cathodes, new, for industrial procurement contract, for mixed-lot cargo.",740311,Metals,Refined copper cathodes,en
"Export grade cocoa beans, whole or broken, certified",180100,Cocoa,"Cocoa beans, whole or broken",en
"Other seats, packed for international trade, for customs clearance and import declaration, shipping term CIF.",940180,Furniture,Other seats,en
"Polyethylene, specific gravity <0.94, commercial grade, for import",390110,Plastics,"Polyethylene, specific gravity <0.94",en
"Export grade photosensitive semiconductor devices, certified",854140,Electronics,Photosensitive semiconductor devices,en
"Export grade footwear with uppers of leather, certified",640510,Footwear,Footwear with uppers of leather,en
"Export grade fresh or chilled onions and shallots, certified",070310,Vegetables,Fresh or chilled onions and shallots,en
"Export grade other palm oil, certified, for regional retail supply chain, for scheduled maritime transport.",151190,Oils,Other palm oil,en
"Optical fibres and bundles, packed for international trade",900190,Instruments,Optical fibres and bundles,en
"Motor cars, >3000cc, meeting international standards",870324,Vehicles,"Motor cars, >3000cc",en
"Motorcycles, 50-250cc for industrial/commercial use",871120,Vehicles,"Motorcycles, 50-250cc",en
"Other seats, packed for international trade, for international wholesale distribution, for scheduled maritime transport.",940180,Furniture,Other seats,en
"Imported other parts for motor vehicles, customs declaration, for cross-border shipment, for mixed-lot cargo.",870899,Vehicles,Other parts for motor vehicles,en
Light distillate feedstock for crackers,271012,Mineral Fuels,Light petroleum oils,en
"电动汽车锂离子电池组 400V, for regional retail supply chain, packed in cartons.",850760,Electronics,Lithium-ion accumulators,zh
"Spark-ignition engines >1000cc, commercial grade, for import, for customs clearance and import declaration, for scheduled maritime transport.",840734,Machinery,Spark-ignition engines >1000cc,en
"Smart TV, 65 inch, colour, with WiFi",852872,Electronics,Other colour TV receivers,en
"Trade declaration: aeroplanes, unladen weight 2000-15000kg, new, for bulk procurement program, for scheduled maritime transport.",880230,Aircraft,"Aeroplanes, unladen weight 2000-15000kg",en
"Smartphone iPhone 15, 256GB, mở khóa, for international wholesale distribution, for mixed-lot cargo.",851712,Electronics,Smartphones,vi
"Milk with fat content 1-6%, meeting international standards, for bulk procurement program, palletized for container shipment.",040120,Dairy,Milk with fat content 1-6%,en
Điện thoại thông minh Samsung Galaxy 5G,851712,Electronics,Smartphones,vi
